SID         sales                 sdate      ENAME                                              DName
----------- --------------------- ---------- -------------------------------------------------- ------------------------------
107         6200.00               2008-04-14 JASON                                              IT
108         1900.00               2009-10-24 JASON                                              IT
109         9100.00               2009-03-20 AHMED                                              IT
110         7600.00               2010-12-12 AHMED                                              IT
111         8300.00               2010-09-15 MARIA                                              IT
112         4800.00               2010-06-23 MARIA                                              IT
113         3900.00               2010-08-10 JOHN                                               FINANCE
114         8100.00               2010-11-14 JOHN                                               FINANCE
115         4900.00               2011-10-19 JACK                                               FINANCE
116         5000.00               2011-04-20 JACK                                               FINANCE
117         8400.00               2011-05-24 JACK                                               FINANCE
118         2700.00               2011-10-12 JUNE                                               FINANCE
119         7100.00               2012-08-20 JUNE                                               FINANCE
120         4100.00               2012-03-15 JUNE                                               FINANCE
121         2100.00               2012-03-15 OLA                                                FINANCE
122         9300.00               2012-09-15 OLA                                                FINANCE

(16 rows affected)


Completion time: 2025-01-22T13:35:41.8980140-06:00
