DName                          ENAME                                              Salary
------------------------------ -------------------------------------------------- ---------------------------------------
FINANCE                        JOHN                                               60000.00
FINANCE                        JACK                                               55000.00
IT                             JASON                                              50000.00
IT                             MARIA                                              40000.00
SALES                          LINDA                                              75000.00
SALES                          ALEX                                               55000.00

(6 rows affected)


Completion time: 2025-01-22T13:36:22.7061623-06:00
