EID         ENAME                                              GENDER DEPTNO      MID         SALARY
----------- -------------------------------------------------- ------ ----------- ----------- ---------------------------------------
2           MARY                                               F      10          1           45000.00
4           JASON                                              M      20          1           50000.00
6           MARIA                                              F      20          4           40000.00
8           JACK                                               M      30          7           55000.00
10          OLA                                                M      30          8           35000.00
12          LIZI                                               F      10          NULL        50000.00

(6 rows affected)


Completion time: 2025-01-22T13:37:19.9421152-06:00
