SID         sales                 ENAME
----------- --------------------- --------------------------------------------------
101         4000.00               LINDA
102         2300.00               LINDA
103         9000.00               MARY
104         4500.00               MARY
105         3200.00               ANJELA
106         2100.00               ANJELA
107         6200.00               JASON
108         1900.00               JASON
109         9100.00               AHMED
110         7600.00               AHMED
111         8300.00               MARIA
112         4800.00               MARIA

(12 rows affected)


Completion time: 2025-01-22T13:32:50.4816211-06:00
