ENAME                                              sales                 sdate
-------------------------------------------------- --------------------- ----------
JUNE                                               7100.00               2012-08-20
JUNE                                               4100.00               2012-03-15
OLA                                                2100.00               2012-03-15
OLA                                                9300.00               2012-09-15
JACK                                               4900.00               2011-10-19
JACK                                               5000.00               2011-04-20
JACK                                               8400.00               2011-05-24
JUNE                                               2700.00               2011-10-12
AHMED                                              7600.00               2010-12-12
MARIA                                              8300.00               2010-09-15
MARIA                                              4800.00               2010-06-23
JOHN                                               3900.00               2010-08-10
JOHN                                               8100.00               2010-11-14
JASON                                              1900.00               2009-10-24
AHMED                                              9100.00               2009-03-20
ANJELA                                             2100.00               2008-05-25
JASON                                              6200.00               2008-04-14
MARY                                               4500.00               2007-02-10
ANJELA                                             3200.00               2007-02-27
LINDA                                              2300.00               2006-01-12
MARY                                               9000.00               2005-06-20
LINDA                                              4000.00               2005-10-10

(22 rows affected)


Completion time: 2025-01-22T13:33:04.0149058-06:00
