ENAME                                              AverageSales          TotalSales            MaxSales
-------------------------------------------------- --------------------- --------------------- ---------------------
AHMED                                              8350.00               16700.00              9100.00
ANJELA                                             2650.00               5300.00               3200.00
JACK                                               6100.00               18300.00              8400.00
JASON                                              4050.00               8100.00               6200.00
JOHN                                               6000.00               12000.00              8100.00
JUNE                                               4633.3333             13900.00              7100.00
LINDA                                              3150.00               6300.00               4000.00
MARIA                                              6550.00               13100.00              8300.00
MARY                                               6750.00               13500.00              9000.00
OLA                                                5700.00               11400.00              9300.00

(10 rows affected)


Completion time: 2025-01-22T13:35:26.1302243-06:00
