EMPLOYEE_ID FIRST_NAME                                         LAST_NAME                                          EMAIL                                                                                                PHONE_NUMBER         HIRE_DATE  JOB_ID     SALARY                                  COMMISSION_PCT                          MANAGER_ID  DEPARTMENT_ID
----------- -------------------------------------------------- -------------------------------------------------- ---------------------------------------------------------------------------------------------------- -------------------- ---------- ---------- --------------------------------------- --------------------------------------- ----------- -------------
100         Steven                                             King                                               SKING                                                                                                515.123.4567         2003-06-17 AD_PRES    24000.00                                0.00                                    0           90
101         Neena                                              Kochhar                                            NKOCHHAR                                                                                             515.123.4568         2005-09-21 AD_VP      17000.00                                0.00                                    100         90
102         Lex                                                De Haan                                            LDEHAAN                                                                                              515.123.4569         2001-01-13 AD_VP      17000.00                                0.00                                    100         90
103         Alexander                                          Hunold                                             AHUNOLD                                                                                              590.423.4567         2006-01-03 IT_PROG    9000.00                                 0.00                                    102         60
108         Nancy                                              Greenberg                                          NGREENBE                                                                                             515.124.4569         2002-08-17 FI_MGR     12008.00                                0.00                                    101         100
114         Den                                                Raphaely                                           DRAPHEAL                                                                                             515.127.4561         2002-12-07 PU_MAN     11000.00                                0.00                                    100         2001
120         Matthew                                            Weiss                                              MWEISS                                                                                               650.123.1234         2004-07-18 ST_MAN     8000.00                                 0.00                                    100         20
121         Adam                                               Fripp                                              AFRIPP                                                                                               650.123.2234         2005-04-10 ST_MAN     8200.00                                 0.00                                    100         20
122         Payam                                              Kaufling                                           PKAUFLIN                                                                                             650.123.3234         2003-05-01 ST_MAN     7900.00                                 0.00                                    100         20

(9 rows affected)


Completion time: 2025-01-22T14:10:27.5806875-06:00
