FirstName                                          LastName                                           JobTitle
-------------------------------------------------- -------------------------------------------------- --------------------------------------------------
Annette                                            Hill                                               Purchasing Assistant
Grant                                              Culbertson                                         Human Resources Administrative Assistant
Hao                                                Chen                                               Human Resources Administrative Assistant
Reinout                                            Hillmann                                           Purchasing Assistant

(4 rows affected)


Completion time: 2025-01-22T14:37:06.2921577-06:00
